date,quarter,year,apple,microsoft,ibm
2007-01-03,2007-1,2007,11.971429,29.860001,97.269997
2007-01-04,2007-1,2007,12.237143,29.809999,98.309998
2007-01-05,2007-1,2007,12.15,29.639999,97.419998
2007-01-08,2007-1,2007,12.21,29.93,98.900002
2007-01-09,2007-1,2007,13.224286,29.959999,100.07
2007-01-10,2007-1,2007,13.857142,29.66,98.889999
2007-01-11,2007-1,2007,13.685715,30.700001,98.650002
2007-01-12,2007-1,2007,13.517143,31.209999,99.339996
2007-01-16,2007-1,2007,13.871428,31.16,100.82
2007-01-17,2007-1,2007,13.564285,31.1,100.019997
2007-01-18,2007-1,2007,12.724286,31,99.449997
2007-01-19,2007-1,2007,12.642858,31.110001,96.169998
2007-01-22,2007-1,2007,12.398571,30.719999,97.110001
2007-01-23,2007-1,2007,12.242857,30.74,97.080002
2007-01-24,2007-1,2007,12.385715,31.09,97.400002
2007-01-25,2007-1,2007,12.321428,30.450001,97.510002
2007-01-26,2007-1,2007,12.197143,30.6,97.449997
2007-01-29,2007-1,2007,12.277143,30.530001,98.540001
2007-01-30,2007-1,2007,12.221429,30.48,99.370003
2007-01-31,2007-1,2007,12.247143,30.860001,99.150002
2007-02-01,2007-1,2007,12.105714,30.559999,99
2007-02-02,2007-1,2007,12.107142,30.190001,99.169998
2007-02-05,2007-1,2007,11.991428,29.610001,100.379997
2007-02-06,2007-1,2007,12.021428,29.51,99.849998
2007-02-07,2007-1,2007,12.307143,29.370001,99.540001
2007-02-08,2007-1,2007,12.311429,29.26,99.620003
2007-02-09,2007-1,2007,11.895715,28.98,98.550003
2007-02-12,2007-1,2007,12.125714,28.940001,98.580002
2007-02-13,2007-1,2007,12.1,29.01,98.290001
2007-02-14,2007-1,2007,12.185715,29.4,99.199997
2007-02-15,2007-1,2007,12.172857,29.459999,98.919998
2007-02-16,2007-1,2007,12.118571,28.74,98.989998
2007-02-20,2007-1,2007,12.271428,28.83,99.349998
2007-02-21,2007-1,2007,12.742857,29.35,99.089996
2007-02-22,2007-1,2007,12.787143,29.389999,98.5
2007-02-23,2007-1,2007,12.724286,28.9,97.730003
2007-02-26,2007-1,2007,12.644286,29.07,96.910004
2007-02-27,2007-1,2007,11.99,27.870001,93.959999
2007-02-28,2007-1,2007,12.087143,28.17,92.940002
